userName,score,at,content,clean,sentiment_score,sentiment,cluster,pca1,pca2
Agus Mufid,2,2025-05-25 13:55:06,gada gratis ongkirnya,gada gratis ongkirnya,0.0516,positive,2,-0.006313540416291088,-0.07583242646938448
suken,5,2025-05-25 13:54:40,"halo min. tombol diskusi kenapa tidak bisa diakses, hanya chat yang tersedia.",halo min tombol diskusi tidak akses chat sedia,0.0,neutral,2,-0.005653000652304612,-0.07283944426451011
Farhan,2,2025-05-25 13:54:08,iklan lu nyebelin sumpah,iklan lu nyebelin sumpah,0.0,neutral,2,-0.0053451084003251085,-0.07227433561739302
Muhammad Nabil,1,2025-05-25 13:52:41,"buruk tidak sesuai, barang lama datang",buruk sesuai barang lama datang,0.0,neutral,2,-0.008694176601622708,-0.10221881057292302
Lukman Sabik,5,2025-05-25 13:48:12,mantap,mantap,0.0,neutral,1,-0.6837837936024181,0.6568706586696152
Ackom Suryanurdin,5,2025-05-25 13:43:21,ok,,0.0,neutral,2,-0.004701091969578247,-0.05308889330794577
Sayem,5,2025-05-25 13:37:51,baik,baik,0.0,neutral,2,-0.008597934411261918,-0.10581906860114997
YANTO AUDI,5,2025-05-25 13:33:20,OK ..... 👌👍👍👍👍👍,,0.0,neutral,2,-0.004701091969578247,-0.05308889330794577
agus tinus,2,2025-05-25 13:31:43,"ini saya turun bintang karna cs'a lama, baru tau di aplikasi ini pembatalan bulan dari pembeli kena potongan hati2 bli di tokped pembelian kena biaya layanan , pembatalan kena biaya layanan meskipun yg batalin bukan pembeli sungguh apa2 hanya duit2",saya turun bintang karna csa lama baru tau aplikasi batal bulan beli kena potong hati bli tokped beli kena biaya layan batal kena biaya layan meski yg batalin bukan beli sungguh apa duit,0.0,neutral,2,-0.002746011892503493,-0.09682583411081853
Noval Dzaki,4,2025-05-25 13:25:54,kok mau chek out malah eror terus yaa,kok mau chek out malah eror terus yaa,0.0,neutral,2,-0.006699606706107718,-0.08089834526388877
Halwi Sihab,5,2025-05-25 13:18:46,tokopedia sangan membantu saya dalam segala hal,tokopedia sangan bantu dalam segala,0.0,neutral,2,-0.005529935582703388,-0.07050134750094311
Tomy Domu Hasiholan,5,2025-05-25 13:00:00,"oke bagus , coba di tingkatkan cara pembayaran nya , ada metode bayar melalui QRIS",oke bagus coba tingkat cara bayar nya metode bayar lalu qris,0.0,neutral,2,0.1499301729740616,0.06059191387897052
Muhtar Ovien,5,2025-05-25 12:47:04,mantap lebih simple dan kren,mantap lebih simple kren,0.0,neutral,1,-0.2608445348802025,0.20910058586281952
Muhammad zulfan Hasan,5,2025-05-25 12:46:39,gampang kalo mau bayar bisa lewat pembayaran digital,gampang kalo mau bayar lewat bayar digital,0.0,neutral,2,0.001986585865918846,-0.07425077961376121
Prana Sanjaya,5,2025-05-25 12:45:41,aplikasi yg sgt mudah & membantu sekaleee,aplikasi yg sgt mudah bantu sekaleee,0.0,neutral,2,0.01702147087361773,-0.0858199606294254
mhd ating,5,2025-05-25 12:30:12,belanja di sini memuaskan. pelayanan bagus dan bertanggung jawab... lebih di tingkatkan lagi... TRIms tokped,belanja sini muas layan bagus tanggung jawab lebih tingkat trims tokped,0.0,neutral,2,0.18123522819832064,0.09106052223151642
Suhar,3,2025-05-25 12:25:30,"tolong di perbaiki appsnya, skarang banyak banget toko yg kasih harga murah tapi pas MW checkout kagak bisa tulisan error. jadi kayak kesannya dimanfaatin buat iklan gratis .. 🤣🤣🤣. sering kejebak Mulu Ampe stress gw pake nih apps. sementara pindah shopee dulu lah.",di baik appsnya skarang banyak banget toko yg kasih harga murah pas mw checkout kagak tulis error jadi kayak kesan dimanfaatin buat iklan gratis sering jebak mulu ampe stress gw pake nih apps pindah shopee dulu lah,-0.6486,negative,2,-0.0017785720711821337,-0.10803470003723424
Achmad Apriyudin,1,2025-05-25 12:09:24,toko online termahal se-Indonesia,toko online mahal indonesia,0.0,neutral,2,-0.011208658467313464,-0.07303665584797725
Saepul Akbar,5,2025-05-25 12:03:45,mohon untuk pihak toko pedia saya tidak pernah menggunakan aplikasi tokopedia dan saya tidak pernah melakukan transaksi apaun di aplikasi tapi tiba2 saya WA notifikasi kode verifikasi padahal sy tidak menggunakan aplikasi ini mohon apabila ada hal2 diluar kendali saya saya tidak pernah memakai aplikasi ini terima kasih,mohon pihak toko dia pernah guna aplikasi tokopedia pernah laku transaksi apaun aplikasi tiba wa notifikasi kode verifikasi padahal sy guna aplikasi mohon apabila hal luar kendali saya saya tidak pernah pakai aplikasi terima kasih,0.0,neutral,2,-0.0034491968988582334,-0.09515286506667363
Mohamad Ridwan Morid,5,2025-05-25 11:28:42,oke daahh,oke daahh,0.0,neutral,2,-0.009026744612257054,-0.0690324631600847
Nur Sholihin,5,2025-05-25 11:23:01,bagus sekali,bagus sekali,0.0,neutral,0,0.4793882726473353,0.37102780969644805
Rainers khan Sianipar22,5,2025-05-25 11:19:16,ok,,0.0,neutral,2,-0.004701091969578247,-0.05308889330794577
Eka mulyana Mulyana,5,2025-05-25 11:17:38,respon bagus pengiriman cept,respon bagus kirim cept,0.0,neutral,2,0.27872539176929406,0.18511039854567285
muhammad gilang,2,2025-05-25 11:14:57,"makin lama promonya semakin sedikit, gak ada gratis ongkir, dulu selalu pake tokopedia. sekarang udah pindah ke ecommerce seblah",makin lama promonya makin sedikit gak gratis ongkir dulu selalu pake tokopedia sekarang udah pindah ecommerce seblah,0.0516,positive,2,-0.020135020154726336,-0.11704939363912491
Syahrudin,5,2025-05-25 11:07:46,memuaskan berlangganan di tokopedia,muas langgan tokopedia,0.0,neutral,2,0.00601092455176308,-0.055960046642863255
nhay,3,2025-05-25 11:05:22,"fitur shake sangat menggangu sekali, ga ada cara mematikannya dipengaturan dan setelan, uninstall dulu",fitur shake sangat menggangu sekali ga cara mati atur setel uninstall dulu,-0.1779,negative,0,0.007599749008424163,-0.08473018083981868
Abdurrahman,4,2025-05-25 11:01:23,sangat membantu,sangat bantu,0.0,neutral,2,0.024031565728642627,-0.08935869809623655
YAYAN YUDIAWAN,5,2025-05-25 11:01:13,sangat mmbantu,sangat mmbantu,0.0,neutral,2,-0.0031498995701930072,-0.08707498678936414
Kadek Mandayana,4,2025-05-25 11:00:01,good shopinhg 👍,good shopinhg,0.4404,positive,2,-0.005677687924202574,-0.06568919008547579
henry kusuma,2,2025-05-25 10:42:45,makin jelek.,makin jelek,0.0,neutral,2,-0.006608104692290344,-0.08486378972674431
Agus Iwan,5,2025-05-25 10:26:03,ok. mantab,mantab,0.0,neutral,2,-0.005644590642014332,-0.07868925393584629
Kenzo Chan,5,2025-05-25 10:18:43,keren memang ini aplikasi banyak barang yang bisa dibeli saya sering pesen perlengkapan tamiya disini,keren memang aplikasi banyak barang bisa beli sering sen lengkap tamiya sini,0.0,neutral,2,-0.006244354709527933,-0.09301476968514731
M. Luthfi Alhadi,1,2025-05-25 10:16:29,"Semenjak Tokopedia di bawah naungan Tiktok, makin ampas. Banyak fitur yg hilang atau bermasalah. Makin mirip aplikasi oren. Pinpoint lokasi alamat jadi ngawur, pencarian gak sesuai (lain yg diketik lain pula yg muncul), fitur ""sembunyikan barang"" jadi hilang, fitur jarak terdekat dari toko yg sudah tidak ada lagi, tidak bisa pilih kurir (cth: reguler hanya reguler, tidak bisa pilih j*t/j*e/s**epat/*nteraja), beberapa barang tidak dapat dicari di aplikasi mobile (sparepart elektronik SMD), dll.",semenjak tokopedia bawah naung tiktok makin ampas banyak fitur yg hilang masalah makin mirip aplikasi oren pinpoint lokasi alamat jadi ngawur cari gak sesuai yg ketik pula yg muncul fitur sembunyi barang jadi hilang fitur jarak dekat toko yg lagi bisa pilih kurir cth reguler reguler bisa pilih jtjesepatnteraja beberapa barang tidak dapat cari aplikasi mobile sparepart elektronik smd,0.0,neutral,2,-0.011592248848672894,-0.12670921400077934
Diky Setiabudi,5,2025-05-25 10:06:03,"bagus menurut saya tapi kecepetan update nya, kalo bisa jangan sering2 update",bagus saya kecepetan update nya kalo jangan sering update,0.0,neutral,2,0.17419130089577206,0.06863958171862466
ai ah,1,2025-05-25 10:04:30,"parah... toped, parah...! dana saya masuk gak kembali. b a n g k e . . . . . !",parah toped parah dana masuk gak b a n g k e,0.0,neutral,2,-0.007834268872679738,-0.08590284794597028
Wahyu Habib,4,2025-05-25 10:02:16,pernah belanja d tokpedia cuman kurirnya tidak d sertakan,pernah belanja d tokpedia cuman kurir d serta,0.0,neutral,2,-0.0031592236548280426,-0.07401965927751135
Lampu Hoki89,1,2025-05-25 09:58:50,GA JELAS. UDA ENAK2 TOKOPEDIA MALAH MERGER SAMA TIKTOK. UDA MAKIN AMPAS INI TOKPED. JAUH BGT SAMA SHOPEE.,ga jelas uda enak tokopedia malah merger sama tiktok uda makin ampas tokped jauh bgt sama shopee,0.0,neutral,2,-0.012739156647523205,-0.09199484017859057
jamaludin,5,2025-05-25 09:57:03,terimakasih dan sukses selalu buat tokopedia,terimakasih sukses selalu buat tokopedia,0.0,neutral,2,-0.016429872225556304,-0.07586189660573373
Wawan Elektronik Genteng,4,2025-05-25 09:56:01,pembatalan pesanan terlalu terbelit belit padahal sudah terbukti penjual tidak aktif mestinya harus nunggu berapa hari baru bisa di kembalikan uang kita berbeda dengan apk belanja lain yang penting bukti nyata cepat prosesnya,batal pesan terlalu belit belit padahal bukti jual aktif mesti nunggu berapa hari baru di kembali uang beda apk belanja yang penting bukti nyata cepat proses,0.0,neutral,2,-0.004866076361744977,-0.09402485538151904
Muh Hayat,1,2025-05-25 09:53:32,"Pelayanan tokopedia sekarang ini mei 2025 mengerikan, 3 kali transaksi saya d LMJ Motor Parts di bulan mei 2025 itu di batalkan terus oleh sistem begitu bahasanya dan solusi yg di gunakan adalah kembali dana tapi sangat ironis krn dana yg kembali cuma nilai dari barang tersebut dan ongkir yg saya bayarkan tadi mati sia sia padahal pesanan masih berada di wilayah si pengirim/belum di kirim, ini pengalaman yg buruk buat saya 3 kali di rugikan dari pelayanan tokopedia",layan tokopedia sekarang mei keri kali transaksi d lmj motor parts bulan mei batal terus sistem bahasa solusi yg guna dana sangat ironis krn dana yg kembali cuma nilai barang sebut ongkir yg bayar tadi mati sia sia padahal pesan ada wilayah si pengirimbelum kirim alam yg buruk buat kali di rugi layan tokopedia,0.0,neutral,2,-0.013495019147301715,-0.12086432281809972
NAZQ NASH,2,2025-05-25 09:50:16,ribet mau mindahin nomer HP/email ke akun lain,ribet mau mindahin nomer hpemail akun,0.0,neutral,2,-0.006444180871434838,-0.08103189654358563
Andreazier MG 21,1,2025-05-25 09:48:05,"fitur penjualan hilang, udah download tetep bingung susah cari chat pembeli",fitur jual hilang udah download tetep bingung susah cari chat beli,0.0,neutral,2,-0.006641145664421976,-0.09510387586533768
Budi Hadi Suprayitno,1,2025-05-25 09:45:47,Pengajuan pembatalan harus disetujui seller.sedangkan seller tidak responsif,aju batal tuju sellersedangkan seller responsif,0.0,neutral,2,-0.005766405723442116,-0.06950586227963924
Reynolds Panjaitan,1,2025-05-25 09:41:52,Semakin update aplikasi semakin ribet. semua dagangan mau ditaruh didepan. sedangkan status dan histrory transaksi dibelakang. merasa Tidak penting kenyamanan pengguna.,makin update aplikasi makin ribet semua dagang mau taruh depan status histrory transaksi belakang rasa penting nyaman guna,0.0,neutral,2,-0.0006771980812474469,-0.09870430082834888
Muhammad Yusuf,1,2025-05-25 09:25:06,Status pengiriman sering tidak update dan aplikasinya kurang friendly user alias ribet,status kirim sering update aplikasi kurang friendly user alias ribet,0.4939,positive,2,0.007034211661799423,-0.08801988144942019
Simba Emeng,4,2025-05-25 09:08:01,"katanya setelah 1 kali transaksi, di transaksi berikutnya mendapatkan voucher belanja 250rb semalam aku co tak tunggu kok gak ada pesan masuk dari voucher , gimana ini",kata kali transaksi transaksi ikut dapat voucher belanja rb malam aku co tak tunggu kok gak pesan masuk voucher gimana,0.0,neutral,2,-0.005839336905469043,-0.08923016444704175
Eman Wilsen,5,2025-05-25 09:00:52,aktipin lagi apk mitra Tokopedia nya,aktipin apk mitra tokopedia nya,0.0,neutral,2,-0.02060251358762226,-0.09181035613925169
samudra nugraha,1,2025-05-25 08:12:17,"hati hati akun tokopedia saya diretas & keamanan tokopedia sangat buruk, akun saya email, nomer hp, dan pin tokopedia diganti oleh peretas tanpa adanya otp ke email maupun sms. parahnya lagi sudah saya email ke tokopedia care melampirkan ktp asli sesuai nama akun tidak ada jawaban sudah 3hari ini. tidak penting kah menurut tokopedia keamanan akun customer ? didalamnya terdapat data dengan ktp dan terhubung dengan gopay saya ? semua dikuras habis. hati hati !!",hati hati akun tokopedia retas aman tokopedia sangat buruk akun email nomer hp pin tokopedia ganti retas ada otp email maupun sms parah email tokopedia care lampir ktp asli sesuai nama akun ada jawab sudah hari tidak penting turut tokopedia aman akun customer dalam dapat data ktp hubung gopay semua kuras habis hati hati,0.4939,positive,2,-0.02132865880145659,-0.09803008286631266
ICB ICB,2,2025-05-25 07:49:34,"sejak dibeli tiktok banyak fitur jadi aneh, bahkan pencairan otomatis pun dari 2hari jadi 7hari",sejak beli tiktok banyak fitur jadi aneh bahkan cair otomatis dari hari jadi hari,0.0,neutral,2,-0.006768857768541803,-0.09572354722365536
Dijah Wanto,4,2025-05-25 07:47:16,cukup puas,cukup puas,0.0,neutral,2,-0.007163668404451864,-0.07700399824688653
ayub lesmana,5,2025-05-25 07:37:43,"ga usah download,klo ada komplen soal pesanan ga berpihak pd pembeli tapi pd penjual,pdhl rangking didpt dr pembeli bkn penjual...tuh gw ksh bintang 5,..ksh bintang 1,2,3,4 ga direspon...",ga usah downloadklo komplen soal pesan ga pihak pd beli pd penjualpdhl rangking didpt dr beli bkn penjualtuh gw ksh bintang ksh bintang ga direspon,0.0,neutral,2,-0.006568767390931923,-0.0815706693635438
Piepynz Rose,5,2025-05-25 07:33:24,kalo bisa min order gratis ongkir nya 10rb kak jangan 20rb,kalo min order gratis ongkir nya rb kak jangan rb,0.0516,positive,2,-0.002239689502637312,-0.08816348006297647
Dhani Kurniawan,5,2025-05-25 05:56:55,good,good,0.4404,positive,2,-0.005677687927378005,-0.0656891900577037
Hikmah Tailor,5,2025-05-25 05:54:48,bagus,bagus,0.0,neutral,2,0.7180334588095492,0.6107956927648337
Ely Rohimah,5,2025-05-25 05:36:23,"Tokped semogq lebih baik ,dalam melayani customer,toko nya juga lebih di perhatikan pengemasan lebih aman kurir sampai sekarang aman , sopan,ramah",tokped semogq lebih baik layan customertoko nya lebih perhati emas lebih aman kurir sekarang aman sopanramah,0.0,neutral,2,-0.0005397167726170841,-0.07702871083197885
Miguel Tia,5,2025-05-25 05:15:40,"terima kasih banyak Kaka udah banyak membantu saya , sehat dan sukses selalu",terima kasih banyak kaka udah banyak bantu sehat sukses selalu,0.0,neutral,2,0.0027921034058591547,-0.07933350689780017
y rachman,5,2025-05-25 04:48:17,sangat membantu sekali.. dalam keseharian,sangat bantu sekali hari,0.0,neutral,0,0.03681180981404455,-0.07980238924915202
Yozian Aronugroho,3,2025-05-25 04:29:44,cek barang kurang lengkap,cek barang kurang lengkap,0.0,neutral,2,-0.004724310969696013,-0.08440963946338567
Sarah Sadyla,1,2025-05-25 04:26:13,nyampah iklan slalu nongol di game klo skali dua kali ga masalah sering bngt,nyampah iklan slalu nongol game klo skali kali ga masalah sering bngt,0.0,neutral,2,-0.00422548839078707,-0.07790082081407636
Feryani Feyaniri,3,2025-05-25 04:25:42,update trs prsaan,update trs prsaan,0.0,neutral,2,0.0004828461803946486,-0.06840671743947165
franscanel id,5,2025-05-25 03:33:07,pokoknya ok,pokok,0.0,neutral,2,-0.005586945001130143,-0.06448680686123968
Chamim Harmain,5,2025-05-25 03:18:48,sangat memuaskan,sangat muas,0.0,neutral,2,0.03742877141024803,-0.06814831372213939
bayu suryasto,1,2025-05-25 02:44:57,tolol,tolol,0.0,neutral,2,-0.005242616305978652,-0.059982954561562
Yozoda,1,2025-05-25 02:04:30,"dear developer, pas mau login pake email pribadi saya tiba"" ada tulisan (DINONAKTIFKAN SECARA MANDIRI) padahal saya tidak pernah menonaktifkan akun, trus yang tekerna kendala itu cuman email saya, akunnya masih saya pake di hp satunya buat berbelanja, dan juga paylater saya tidakbisa digunakan kembali secara tiba"" saya juga tidak pernah sekalipun telat membayar tagihan. tolong dong solusinya developer",dear developer pas mau login pake email pribadi tiba tulis nonaktif mandiri padahal pernah nonaktif akun trus tekerna kendala cuman email akun pake hp satu buat belanja juga paylater tidakbisa guna cara tiba saya juga tidak pernah sekalipun telat bayar tagih dong solusi developer,0.3818,positive,2,-0.0007550605975368428,-0.0897432862204882
Muh Fikri,4,2025-05-25 01:22:38,🙏,,0.0,neutral,2,-0.004701091969578247,-0.05308889330794577
Yudho Abdi,1,2025-05-25 01:17:10,"Kenapa Fitur GoPay Later saya sudah tidak bisa digunakan. Masih ada limit banyak namun tidak bisa digunakan. Awalnya Gagal lalu di pilihan metode pembayaran, GoPay Later saya sudah hilang dan gak ada.",fitur gopay later sudah guna limit banyak tidak bisa guna awal gagal lalu pilih metode bayar gopay later sudah hilang gak ada,0.0,neutral,2,-0.0077885186817465415,-0.08945568848488814
Priyama Gareng,5,2025-05-25 00:51:57,Bagus memuaskan,bagus muas,0.0,neutral,2,0.4571941578846717,0.3514380423779636
Mikky baim Baim,1,2025-05-25 00:48:44,tokped..mkin ke sni..vocher mkin jrang/ pelit..smenjak gbung ma tem joged2(tiktok)mkin parah...gk tau dah hrus bilang ap.. tuk smentara ni enakan pke orange & biru..banyak promo2nya & vocher....,tokpedmkin snivocher mkin jrang pelitsmenjak gbung ma tem jogedtiktokmkin parahgk tau dah hrus bilang ap tuk smentara ni enak pke orange birubanyak promonya vocher,0.0,neutral,2,-0.0058661747155336,-0.06503282564886806
Rizky Sugiarto,1,2025-05-25 00:12:39,"Spin dapat voucer 250bu, tappi disuruh belanja itemm dulu satu. setelah belanja tidak ada satupun voucer yg di terima. PENIPUAN .",spin voucer bu tappi suruh belanja itemm dulu satu belanja ada satu voucer yg terima tipu,0.0,neutral,2,-0.005379185008565821,-0.08001746465498132
Kangrohim1988 Rohim,5,2025-05-25 00:06:07,mantul pokok ny,mantul pokok ny,0.0,neutral,2,-0.005586945681068339,-0.06448680691727736
Rahen,1,2025-05-24 23:58:07,ngga bisa beli liquid,ngga beli liquid,0.0,neutral,2,-0.006601282185180848,-0.07272953586905985
Firmansyah Djauo,5,2025-05-24 23:51:24,sangat puas pakai tokopedia,sangat puas pakai tokopedia,0.0,neutral,2,-0.023083797829520334,-0.1073443531330948
Wijna Widhayaka,2,2025-05-24 23:25:46,kenapa ongkirnya mahal sedangkan di tokoh sebelah meskipun ada ongkir jugaa dapet gratis ongkir tolong dong pihak adminya banyakin gratis ongkirnya kasihan untuk masyarakat yang dananya kehalang ongkirnya 🙏🙏🙏,ongkirnya mahal di tokoh belah meski ongkir jugaa dapet gratis ongkir dong pihak adminya banyakin gratis ongkirnya kasihan masyarakat dana halang ongkirnya,0.1027,positive,2,-0.00797738847942873,-0.09360764777659465
Nur Cahya (Cahyo),4,2025-05-24 23:20:29,barang harus datang sesuai ya,barang datang sesuai,0.0,neutral,2,-0.008121940214670303,-0.09774130444823557
Indra Maulana,1,2025-05-24 23:19:10,"6 TAHUN MAKE TOKPED SEKARANG MALAH MAKIN PELIT ONGKIR HADEUH otw pindah oren, Lebih lucu lagi fitur Ulasan malah di batasi kocak",tahun make tokped sekarang malah makin pelit ongkir hadeuh otw pindah oren lebih lucu fitur ulas malah batas kocak,0.0,neutral,2,-0.009480941767703954,-0.08777505155332528
Hafiz Rahanar,2,2025-05-24 23:04:04,untuk Tokopedia tolong lepaskan pengawasan pada akun google saya karena setiap saya ingin daftar melalui akun google selalu ada peringatan akun google anda dalam pengawasan,tokopedia lepas awas akun google karena saya daftar lalu akun google selalu ingat akun google dalam awas,0.0,neutral,2,-0.009970238351631288,-0.07569319180104285
Ai Nur,1,2025-05-24 23:02:25,"dulu padahal baguss bangett ini aplikasi nya tiap bulan ngasih voucher belanja untuk konsumen TAPI SEKARANG JELEK BANGET UDAH JARANG ADA VOUCHER SEKALI NYA MIN BELI NYA TINGGI POTONG ANYA KECIL, UDAH GAADA GRATIS ONGKIR PULA.. INI GIMANA SIH MAKIN KESINI BUKANYA MAKIN BAIK MALAH MAKIN JELEK",dulu padahal baguss bangett aplikasi nya tiap bulan ngasih voucher belanja konsumen sekarang jelek banget udah jarang voucher sekali nya min beli nya tinggi potong anya kecil udah gaada gratis ongkir ini gimana sih makin kesini buka makin baik malah makin jelek,0.0516,positive,2,0.0020388628167584137,-0.11923500034062293
Somantri,5,2025-05-24 22:49:38,harga dan barang nya sesuai kantong,harga barang nya sesuai kantong,0.0,neutral,2,-0.00569811249852682,-0.09996741833083146
Alliffrtama,5,2025-05-24 22:39:17,"responsif banget suka deh, bahkan aku mau return barang pun di bantuin",responsif banget suka deh bahkan aku mau return barang di bantuin,0.0,neutral,2,-0.0036941269460034586,-0.09713201120354316
riyan agus ariyanto,5,2025-05-24 21:45:12,aplikasi toko online satu-satunya yg sy miliki dan sgt puas atas pelayananya,aplikasi toko online satusatunya yg sy milik sgt puas atas pelayananya,0.0,neutral,2,-0.00453854359571805,-0.09367304140838632
Dhimas Priyandaru,1,2025-05-24 21:40:23,parah pajak ga ngotak. .konfirmasi otomatis pesanan semakin lama.. ancurr,parah pajak ga ngotak konfirmasi otomatis pesan makin lama ancurr,0.0,neutral,2,-0.007767613536982729,-0.09388357563837066
Nenk Jebot,2,2025-05-24 21:37:41,tidak bisa donlod,bisa donlod,0.0,neutral,2,-0.0063807480695474116,-0.07446882441313411
Rudymenz Theboy,5,2025-05-24 21:35:26,bagus,bagus,0.0,neutral,2,0.7180334588095492,0.6107956927648337
Muh naufal Sani,5,2025-05-24 21:28:27,ok la,la,0.0,neutral,2,-0.005242599560277287,-0.05998294375910296
charissa gracia,3,2025-05-24 21:25:07,"ini updatenya susah sekali, ga bisa 2",updatenya susah sekali ga,0.0,neutral,0,0.014121981254758756,-0.06444080157580127
R Mulya S,5,2025-05-24 21:13:51,bagus aplikasinya membantu,bagus aplikasi bantu,0.0,neutral,2,0.42115469546030215,0.2920027658747956
asrul rul,5,2025-05-24 21:13:24,bagus banget aplikasi nya banyak promo² nya memang mantap lh kalau mau beli barang ada promo maantaapp sukses tp,bagus banget aplikasi nya banyak promo nya memang mantap lh kalau mau beli barang promo maantaapp sukses tp,0.0,neutral,2,-0.0025378327218067973,0.14238354908642223
Wigan Wigan,1,2025-05-24 21:04:25,"Bakal almarhum nyusul bukalapak nih kayaknya... sejak gabung tiktok makin ancur ini platform. udah potongan seller gede, pencairan lama dan makin bikin bingung.",bakal almarhum nyusul bukalapak nih kayak sejak gabung tiktok makin ancur platform udah potong seller gede cair lama makin bikin bingung,0.0,neutral,2,-0.007921838939200457,-0.09510465201198254
Sisca Cook,3,2025-05-24 21:03:29,"Tidak bisa masuk aplikasi,harus update terus,tolong diperbaiki",bisa masuk aplikasiharus update terustolong baik,0.0,neutral,2,-0.0027896017804354342,-0.09537369264117802
