userName,score,at,content
Eka mulyana Mulyana,5,2025-05-25 11:17:38,respon bagus pengiriman cept
muhammad gilang,2,2025-05-25 11:14:57,"makin lama promonya semakin sedikit, gak ada gratis ongkir, dulu selalu pake tokopedia. sekarang udah pindah ke ecommerce seblah"
Syahrudin,5,2025-05-25 11:07:46,memuaskan berlangganan di tokopedia
nhay,3,2025-05-25 11:05:22,"fitur shake sangat menggangu sekali, ga ada cara mematikannya dipengaturan dan setelan, uninstall dulu"
Abdurrahman,4,2025-05-25 11:01:23,sangat membantu
YAYAN YUDIAWAN,5,2025-05-25 11:01:13,sangat mmbantu
Kadek Mandayana,4,2025-05-25 11:00:01,good shopinhg 👍
henry kusuma,2,2025-05-25 10:42:45,makin jelek.
Agus Iwan,5,2025-05-25 10:26:03,ok. mantab
Kenzo Chan,5,2025-05-25 10:18:43,keren memang ini aplikasi banyak barang yang bisa dibeli saya sering pesen perlengkapan tamiya disini
M. Luthfi Alhadi,1,2025-05-25 10:16:29,"Semenjak Tokopedia di bawah naungan Tiktok, makin ampas. Banyak fitur yg hilang atau bermasalah. Makin mirip aplikasi oren. Pinpoint lokasi alamat jadi ngawur, pencarian gak sesuai (lain yg diketik lain pula yg muncul), fitur ""sembunyikan barang"" jadi hilang, fitur jarak terdekat dari toko yg sudah tidak ada lagi, tidak bisa pilih kurir (cth: reguler hanya reguler, tidak bisa pilih j*t/j*e/s**epat/*nteraja), beberapa barang tidak dapat dicari di aplikasi mobile (sparepart elektronik SMD), dll."
Diky Setiabudi,5,2025-05-25 10:06:03,"bagus menurut saya tapi kecepetan update nya, kalo bisa jangan sering2 update"
ai ah,1,2025-05-25 10:04:30,"parah... toped, parah...! dana saya masuk gak kembali. b a n g k e . . . . . !"
Wahyu Habib,4,2025-05-25 10:02:16,pernah belanja d tokpedia cuman kurirnya tidak d sertakan
Lampu Hoki89,1,2025-05-25 09:58:50,GA JELAS. UDA ENAK2 TOKOPEDIA MALAH MERGER SAMA TIKTOK. UDA MAKIN AMPAS INI TOKPED. JAUH BGT SAMA SHOPEE.
jamaludin,5,2025-05-25 09:57:03,terimakasih dan sukses selalu buat tokopedia
Wawan Elektronik Genteng,4,2025-05-25 09:56:01,pembatalan pesanan terlalu terbelit belit padahal sudah terbukti penjual tidak aktif mestinya harus nunggu berapa hari baru bisa di kembalikan uang kita berbeda dengan apk belanja lain yang penting bukti nyata cepat prosesnya
Muh Hayat,1,2025-05-25 09:53:32,"Pelayanan tokopedia sekarang ini mei 2025 mengerikan, 3 kali transaksi saya d LMJ Motor Parts di bulan mei 2025 itu di batalkan terus oleh sistem begitu bahasanya dan solusi yg di gunakan adalah kembali dana tapi sangat ironis krn dana yg kembali cuma nilai dari barang tersebut dan ongkir yg saya bayarkan tadi mati sia sia padahal pesanan masih berada di wilayah si pengirim/belum di kirim, ini pengalaman yg buruk buat saya 3 kali di rugikan dari pelayanan tokopedia"
NAZQ NASH,2,2025-05-25 09:50:16,ribet mau mindahin nomer HP/email ke akun lain
Andreazier MG 21,1,2025-05-25 09:48:05,"fitur penjualan hilang, udah download tetep bingung susah cari chat pembeli"
Budi Hadi Suprayitno,1,2025-05-25 09:45:47,Pengajuan pembatalan harus disetujui seller.sedangkan seller tidak responsif
Reynolds Panjaitan,1,2025-05-25 09:41:52,Semakin update aplikasi semakin ribet. semua dagangan mau ditaruh didepan. sedangkan status dan histrory transaksi dibelakang. merasa Tidak penting kenyamanan pengguna.
Muhammad Yusuf,1,2025-05-25 09:25:06,Status pengiriman sering tidak update dan aplikasinya kurang friendly user alias ribet
Simba Emeng,4,2025-05-25 09:08:01,"katanya setelah 1 kali transaksi, di transaksi berikutnya mendapatkan voucher belanja 250rb semalam aku co tak tunggu kok gak ada pesan masuk dari voucher , gimana ini"
Eman Wilsen,5,2025-05-25 09:00:52,aktipin lagi apk mitra Tokopedia nya
samudra nugraha,1,2025-05-25 08:12:17,"hati hati akun tokopedia saya diretas & keamanan tokopedia sangat buruk, akun saya email, nomer hp, dan pin tokopedia diganti oleh peretas tanpa adanya otp ke email maupun sms. parahnya lagi sudah saya email ke tokopedia care melampirkan ktp asli sesuai nama akun tidak ada jawaban sudah 3hari ini. tidak penting kah menurut tokopedia keamanan akun customer ? didalamnya terdapat data dengan ktp dan terhubung dengan gopay saya ? semua dikuras habis. hati hati !!"
ICB ICB,2,2025-05-25 07:49:34,"sejak dibeli tiktok banyak fitur jadi aneh, bahkan pencairan otomatis pun dari 2hari jadi 7hari"
Dijah Wanto,4,2025-05-25 07:47:16,cukup puas
ayub lesmana,5,2025-05-25 07:37:43,"ga usah download,klo ada komplen soal pesanan ga berpihak pd pembeli tapi pd penjual,pdhl rangking didpt dr pembeli bkn penjual...tuh gw ksh bintang 5,..ksh bintang 1,2,3,4 ga direspon..."
Piepynz Rose,5,2025-05-25 07:33:24,kalo bisa min order gratis ongkir nya 10rb kak jangan 20rb
Dhani Kurniawan,5,2025-05-25 05:56:55,good
Hikmah Tailor,5,2025-05-25 05:54:48,bagus
Ely Rohimah,5,2025-05-25 05:36:23,"Tokped semogq lebih baik ,dalam melayani customer,toko nya juga lebih di perhatikan pengemasan lebih aman kurir sampai sekarang aman , sopan,ramah"
Miguel Tia,5,2025-05-25 05:15:40,"terima kasih banyak Kaka udah banyak membantu saya , sehat dan sukses selalu"
y rachman,5,2025-05-25 04:48:17,sangat membantu sekali.. dalam keseharian
Yozian Aronugroho,3,2025-05-25 04:29:44,cek barang kurang lengkap
Sarah Sadyla,1,2025-05-25 04:26:13,nyampah iklan slalu nongol di game klo skali dua kali ga masalah sering bngt
Feryani Feyaniri,3,2025-05-25 04:25:42,update trs prsaan
franscanel id,5,2025-05-25 03:33:07,pokoknya ok
Chamim Harmain,5,2025-05-25 03:18:48,sangat memuaskan
bayu suryasto,1,2025-05-25 02:44:57,tolol
Yozoda,1,2025-05-25 02:04:30,"dear developer, pas mau login pake email pribadi saya tiba"" ada tulisan (DINONAKTIFKAN SECARA MANDIRI) padahal saya tidak pernah menonaktifkan akun, trus yang tekerna kendala itu cuman email saya, akunnya masih saya pake di hp satunya buat berbelanja, dan juga paylater saya tidakbisa digunakan kembali secara tiba"" saya juga tidak pernah sekalipun telat membayar tagihan. tolong dong solusinya developer"
Muh Fikri,4,2025-05-25 01:22:38,🙏
Yudho Abdi,1,2025-05-25 01:17:10,"Kenapa Fitur GoPay Later saya sudah tidak bisa digunakan. Masih ada limit banyak namun tidak bisa digunakan. Awalnya Gagal lalu di pilihan metode pembayaran, GoPay Later saya sudah hilang dan gak ada."
Priyama Gareng,5,2025-05-25 00:51:57,Bagus memuaskan
Mikky baim Baim,1,2025-05-25 00:48:44,tokped..mkin ke sni..vocher mkin jrang/ pelit..smenjak gbung ma tem joged2(tiktok)mkin parah...gk tau dah hrus bilang ap.. tuk smentara ni enakan pke orange & biru..banyak promo2nya & vocher....
Rizky Sugiarto,1,2025-05-25 00:12:39,"Spin dapat voucer 250bu, tappi disuruh belanja itemm dulu satu. setelah belanja tidak ada satupun voucer yg di terima. PENIPUAN ."
Kangrohim1988 Rohim,5,2025-05-25 00:06:07,mantul pokok ny
Rahen,1,2025-05-24 23:58:07,ngga bisa beli liquid
Firmansyah Djauo,5,2025-05-24 23:51:24,sangat puas pakai tokopedia
Wijna Widhayaka,2,2025-05-24 23:25:46,kenapa ongkirnya mahal sedangkan di tokoh sebelah meskipun ada ongkir jugaa dapet gratis ongkir tolong dong pihak adminya banyakin gratis ongkirnya kasihan untuk masyarakat yang dananya kehalang ongkirnya 🙏🙏🙏
Nur Cahya (Cahyo),4,2025-05-24 23:20:29,barang harus datang sesuai ya
Indra Maulana,1,2025-05-24 23:19:10,"6 TAHUN MAKE TOKPED SEKARANG MALAH MAKIN PELIT ONGKIR HADEUH otw pindah oren, Lebih lucu lagi fitur Ulasan malah di batasi kocak"
Hafiz Rahanar,2,2025-05-24 23:04:04,untuk Tokopedia tolong lepaskan pengawasan pada akun google saya karena setiap saya ingin daftar melalui akun google selalu ada peringatan akun google anda dalam pengawasan
Ai Nur,1,2025-05-24 23:02:25,"dulu padahal baguss bangett ini aplikasi nya tiap bulan ngasih voucher belanja untuk konsumen TAPI SEKARANG JELEK BANGET UDAH JARANG ADA VOUCHER SEKALI NYA MIN BELI NYA TINGGI POTONG ANYA KECIL, UDAH GAADA GRATIS ONGKIR PULA.. INI GIMANA SIH MAKIN KESINI BUKANYA MAKIN BAIK MALAH MAKIN JELEK"
Somantri,5,2025-05-24 22:49:38,harga dan barang nya sesuai kantong
Alliffrtama,5,2025-05-24 22:39:17,"responsif banget suka deh, bahkan aku mau return barang pun di bantuin"
riyan agus ariyanto,5,2025-05-24 21:45:12,aplikasi toko online satu-satunya yg sy miliki dan sgt puas atas pelayananya
Dhimas Priyandaru,1,2025-05-24 21:40:23,parah pajak ga ngotak. .konfirmasi otomatis pesanan semakin lama.. ancurr
Nenk Jebot,2,2025-05-24 21:37:41,tidak bisa donlod
Rudymenz Theboy,5,2025-05-24 21:35:26,bagus
Muh naufal Sani,5,2025-05-24 21:28:27,ok la
charissa gracia,3,2025-05-24 21:25:07,"ini updatenya susah sekali, ga bisa 2"
R Mulya S,5,2025-05-24 21:13:51,bagus aplikasinya membantu
asrul rul,5,2025-05-24 21:13:24,bagus banget aplikasi nya banyak promo² nya memang mantap lh kalau mau beli barang ada promo maantaapp sukses tp
Wigan Wigan,1,2025-05-24 21:04:25,"Bakal almarhum nyusul bukalapak nih kayaknya... sejak gabung tiktok makin ancur ini platform. udah potongan seller gede, pencairan lama dan makin bikin bingung."
Sisca Cook,3,2025-05-24 21:03:29,"Tidak bisa masuk aplikasi,harus update terus,tolong diperbaiki"
Nur Khoiriyah,1,2025-05-24 20:56:48,"cs nya lambat penanganannya g gercep, saya kena toko fiktif sudah komplen sdh retur, tp pihak toko kasih alamat g jelas g smpe2 retur sya,,ini malah dr pihak ekspedisi dikembalikan ke alamat sy lg,bingung jdnya mau komplen kmn lg prosesnya lama,bingung jg dana sya yg tertahan entah gimana nti bakal balik ga, udh coba lewat email, TokopediaCare tp gda perkembangan,,toko fiktif nya jg msih jln smpe skrng. pdhl udh sy laporin. g kya si oren gercep"
Andri Widayat,1,2025-05-24 20:55:53,"Ini bodoh yg upgrade tampilan, biar kelihatan kerja apa gimana???? balikin ke tampilan awal."
Rudi Tri Candra,1,2025-05-24 20:50:52,"Semenjak ada handover paket pengiriman jadi lelet, yg dikirim ini gadget padahal. Gimana nanti asuransinya jika rusak. Hilangin aja, bikin customer was was"
Arif Nugroho,5,2025-05-24 20:45:35,ok
Wa Imah,5,2025-05-24 20:32:36,suka
Nana Sutarna,5,2025-05-24 20:32:33,mantap
raghibash Ashshabar,1,2025-05-24 20:21:13,"kurang ketat dalam pemilihan orang dalam menjadi seller sehingga banyak muncul penipuan didalam aplikasi. saya pernah membeli barang pre order dan mengkonfirmasi dulu apakah barang asli apa tidak, dan saat barang sampai ternyata bukan barang itu yang dikirimkan. dan saat dikembalikan terhalang dikarenakan seller tidak bisa dihubungi juga alamat nya yang tidak jelas sehingga dana saya tidak bisa kembali . padahal sudah konfirmasi di Tokopedia care tapi hanya dibalas akan dibantu.😡"
MXP,2,2025-05-24 20:14:04,"gak tau sekarang kok beds bgt CS nya, lebih bnyak boot / robot/ komputer, jawaban template semua. beda sama yang dulu jawaban cepat dan ngerti masalah. pelayanan menurun"
HILMAN N F,5,2025-05-24 19:40:18,"mohon prinsip profesionalnya diterapkan lagi di sistem aplikasi Tokopedia yaitu customer service seorang human harus ada,jangan cuman ada chatbot saja,dan harusnya Tokopedia atau anak usahanya yaitu mitra Tokopedia ngasih pemberitahuan yg jelas bahwa mitra Tokopedia tidak lagi beroperasi, keterangan di aplikasi mitra Tokopedia hanya ngasih tahu bahwa transaksi digital dialihkan ke Tokopedia,saya cek di playstore tidak ada lagi aplikasi mitra Tokopedia berarti sudah berhenti beroperasi ya?"
Asep Saepudin,5,2025-05-24 19:39:44,keren banget
Tata Maria,5,2025-05-24 19:04:34,knp tokopedia skrg pengiriman lama sekali..brg saya blm sampe2 jg
gilang amon,4,2025-05-24 19:02:41,MURAH DAN YANG GAK DONLOD TOKOPEDIA RUGI
JOHAN98Jr,1,2025-05-24 18:57:43,"saya sangat kecewa sebagai konsumen baru tokopedia,saya beli barang bekas dari 16 maret 2025 sampai sekarang belum juga di kembalikan dana saya,padahal udah retrun barang sesuai saya beli dan udah kirim video Peking barang mulai dari bungkus sampai antar ke kurir,saya merasa rugi disini sebesar Rp. 7.868.900,dan merasa di pojokkan karena minta kompensasi sebesar 1.7jt gila benar,padahal saya kirim retrun barang sesuai apa yg di kirim sama penjual,kalo tidak minus tidak mungkin saya retrun barang"
Endin Faerudin,5,2025-05-24 18:48:25,Mantap coy
Arpan Arpan Gs123,4,2025-05-24 18:40:33,mantap
ardian indo firmansyah,5,2025-05-24 18:33:41,bagus banget buat belanja dan aman
Швтфєб Бч,5,2025-05-24 18:24:32,oke aku dapet vocer 250k
Nurul Hidayat,1,2025-05-24 18:20:24,"disuruh nyambung akun tiktok gk nyambung² bgsd ! muter² mulu masuk di apk tiktok, masuk apk tokped balik lagi ke tiktok bgsd"
Danur Mihardja,5,2025-05-24 18:14:38,mantap
Limalas Senti,5,2025-05-24 18:11:23,terimakasih sangat membatu adanya BRI Tokopedia
Yan Wia,4,2025-05-24 18:06:56,tolong dalam pembatalan orderan disediakan alasan penyedia barang tidak bisa karena stok sudah habis. ini pengalaman saya kemarin belanja disuruh batalin karena lupa katanya.
Gali davila,4,2025-05-24 17:56:28,tokopedia applikasi yang baik tapi ongkir nya mahal
budi167,2,2025-05-24 16:56:28,paling males update aplikasi mulu
Aji Saka,5,2025-05-24 16:49:51,Bagus
Muhammad Rudi,1,2025-05-24 16:34:04,"yg bales bot gak sih?, rating 4 keatas jawaban nya template , rating 3 kebawah pun sama"
Arief,5,2025-05-24 16:34:01,Mantap sekarang sudah ada cod
Dede Zumairoh,5,2025-05-24 16:32:43,Oke
Bharata Sena KY,1,2025-05-24 16:23:45,"saya sebagai pengguna rokok elektrik sangat menyayangkan kenapa liquid untuk rokok elektrik dihilangkan, sedangkan device dan sebagainya masih bebas di jual."
Badi Zia,5,2025-05-24 16:20:36,Bagus
Indah Nurindah,5,2025-05-24 16:15:34,"sangat puas belanja ditoko pedia , pengiriman cepat"
Dwi Putranto,3,2025-05-24 15:55:14,"iya gak asik nih, fitur cari sekaligusnya hilang 👎 Down grade...."
Iid Yudistian,5,2025-05-24 15:55:00,sangat menggagu
Shaka Akhlan,2,2025-05-24 15:54:49,"makin aneh aja, ada promo diskon cma 5% eh kupon gratis ongkir malah hilang,sama aja kga ada potongan harga di cekout malah nambah ongkir🤣🤣"
Kami Kita,2,2025-05-24 15:53:28,"Tadinya alasan Pilih Tokopedia krn ada fitur cari sekaligus, skrg ilang, otomatis uninstall aja deh nih apk..."
Muhammad Sholihin,5,2025-05-24 15:46:18,update
Eko Suprapto,5,2025-05-24 15:39:55,sy mohon kepada toko pedia untuk memperhatikan jasa kirimnya karna ada beberapa paket tidak pernah sampai dan salain itu pengiriman sangat lambat akhirnya sy banyak belanja ditoko sebelah
wenny margaretha,1,2025-05-24 15:36:16,gabisa cekout di batalkan sistem melulu kecewa!
Sigi Haryati,5,2025-05-24 15:32:21,sangat memuaskan dan praktis
Nabila Kusuma,1,2025-05-24 15:26:10,saran untuk Tokopedia agar fitur refund di permudah dan harus ada penarikan ke DANA bukan cuman bank saja
Rana Jepara,5,2025-05-24 15:22:52,mantab banget
Jonpes Andrea,5,2025-05-24 15:21:22,Baik
Nofia Friska,4,2025-05-24 15:05:50,Bagus
Arju syafaat muhammad,5,2025-05-24 14:59:41,bagus
Mohamad Rifai,5,2025-05-24 14:58:01,mudah2an amanah toko toko nya.
gen x xelon,1,2025-05-24 14:38:24,gak bakal beli di Tokopedia lagi
Farizz Rizz,1,2025-05-24 14:30:24,kenapa akun saya di log out ya? dan saat di relog ada tulisan eror dan masuk di akun yang lain
Anda Endut,5,2025-05-24 13:58:50,mantap.... byk pilihan.... dan bs di percaya
Yuli Purnomo,5,2025-05-24 13:58:37,mantap
Rudy Nurwandy,5,2025-05-24 13:55:46,"pengiriman lelet...sudah parah Tokopedia ,toko birudan orange pesan hari ini..besok bisa datang"
Fadillah Dillah,5,2025-05-24 13:55:35,pembayaran sangat mudah dan tidak rumit. gampang dimengerti . trm kasih
Agus Prasetiawan,2,2025-05-24 13:39:38,"kecewa sama aplikasi tokopedia. belanja 4 item tapi yang tertera di label cuma 2 macam item alhasil dari seller cuma dikirim 2. ini kedua kalinya saya mengalami hal seperti ini, (toko yang berbeda). entah ini bug atau apa. tolong diperbaiki"
Syaban 123,4,2025-05-24 13:18:20,perasaan sekarang eror Mulu ni apk
Haywel,1,2025-05-24 13:02:30,hubungin chat CS mau komplain kiriman ga sampai2 yg jawab malah AI.
Siti Fatimah,5,2025-05-24 12:45:28,siapa yang mau diskonnya aku mah mau
Rumah Bahagia,2,2025-05-24 12:45:11,"entahh knp semua voucher yg saya dapet atau miliki,gak bisa di gunakan untuk checkout,entah knp,dan solusinya bagaimana akupun gak tau,karna di bantuan Tokopedia care gak bisa juga..bikin sedihh"
Asep Mulya,1,2025-05-24 12:40:00,aaaakh
Ros Mini,1,2025-05-24 12:39:02,"Mitra Tokopedia ngeri ih..mau verifikasi akun buat refund dana mitra VA, harus foto ktp sm selfie pegang ktp, pas udah ketarik saldonya, apk nya sdh gak bisa kepake, trus malah diteror pinjol, penagih utang, sm penipuan, untung hp gw punya penyaring tlpn spam. Ih bahaya bgt MITRA TOKOPEDIA. Data mitra koq bisa bocor gitu ih"
kindi Al jabar,5,2025-05-24 12:12:18,keren lah
Dyah Lestari,1,2025-05-24 11:59:17,"iya ekpedisi otomatis pake kurir si cepat , paket bukannya di anter malah di retur tanpa konfirmasi udahin aja gausah pake sicepat"
Dadang Pemda,5,2025-05-24 11:49:45,sedikit harus grecep dalam input kode veripikasi...tapi barang nya insya Allah berkualitas
Exclusive 02,5,2025-05-24 11:45:56,mantapppppp
RON FF,5,2025-05-24 11:26:00,mantap
Muhammad Attabik al-haq Atta,1,2025-05-24 11:04:01,iklan terus
Della Sanjaya,1,2025-05-24 11:02:22,"ganti aja namanya jadi tokonilepuang, barang ga sampai gara gara sistem multi kurir, asuransi on juga, tapi prosesnya refund lama, udah satu bulan lebih ga ada kejelasan, uang 7,5jt tidaklah sedikit!!! tanggung aja itu dosa!"
Akhun Kediuk,4,2025-05-24 11:01:29,"aplikasi ini yang paling berat,lelet saat dibuka,sangat butuh waktu lama utk mengungah poto atau lainnya.mesti nya bisa belanja 4 item,dpt nya 1 atau 2 aja.saat diklik, nanti kembalinya ke awal lagi,kita mesti scrool lagi keatas.😤😴😥"
Sam sem gaming,1,2025-05-24 11:01:15,"lu ngapain gabung ke tiktok,dah bener tokped aja ngapain gabung ,bukan makin berkembang makin ancur toko gw ,,mana ada pinjaman modal toko ,,gara gara lu gabung gw malah gak bisa setor ,,ancur gara gara lu gabung ke tiktok,,pencairan seminggu,,gak bisa muter gak bisa setor ,,modal pas Pasan ,,pekok emang pengurus tokped gak punya otak"
Tini Suhartini Official,5,2025-05-24 10:57:25,aplikasi yang mudah dan tidak ribet 👍👍
Sis Koko,1,2025-05-24 10:34:28,tidak menyelesaikan masalah
Sopian boecip,5,2025-05-24 10:33:49,oke
Fahraza Arie,5,2025-05-24 10:22:29,Gw Download Tokopedia Buat Cari Komponen Atau Paket PC Di Tokopedia Siapa Tau Ada Harga Murah Gitu
dwi vatma,5,2025-05-24 10:21:08,Dear developer. sudah bagus. mohon lebih ditingkatksn kelengkapan produk yg dijual. mungkin bisa dimulai dari mudahnya aplikasi membuka toko
Muhammad Iqbal,5,2025-05-24 10:11:29,Tolong Balikin Menu Hapus chat... jadi kalo kita mau hapus chat biar gak banyak space memory kemakan.
Juis Ade Ola,1,2025-05-24 09:59:33,tolong kalau barang gagal kirim uangnya di kembalikan!!!!!
Nur Rahmat Rahmat,5,2025-05-24 09:52:40,keren praktis
Jovenis Gaming,5,2025-05-24 09:52:25,Bagus
Yuliani Ekoarsi,5,2025-05-24 09:22:18,menarik sekali
Irfan Hudi,5,2025-05-24 09:14:39,"Tokopedia memang top markotop,saya tunggu pesanan nya y kak.. terimakasih"
Isa M,1,2025-05-24 09:09:51,"bintang satu aja, sekarang gak ada gratis ongkirnya. diskon jg dikit banget. skipp mending ke aplikasi sebelah"
Eko Saputro,1,2025-05-24 09:08:44,jangan kirim iklan
Artha putra Mandiri,5,2025-05-24 09:03:04,puas
Ernia wahyu ningsih,3,2025-05-24 08:39:21,ok
Zilvi Ahmad,5,2025-05-24 08:35:07,toko pedia memang mantap
khairul hidayah,1,2025-05-24 08:32:38,"ketentuan peraturan dana cair semakin lama. eh emng yg jualan di sini orng yg punya simpanan banyak buat modal lagi. dah modal tipis cair 1 Minggu potongan admin semakin gede. saya curiga duit di tahan selama 1 Minggu tu buat apa di tahan"" hak penjual loh bukan hak lu."
Elsa Evandya,2,2025-05-24 08:30:43,lemot sekrang ribet
Ahmad Supriadi,5,2025-05-24 08:08:05,mantap
Mulyadi Link,5,2025-05-24 07:46:54,mantab
Susyanto,3,2025-05-24 07:29:49,"saran saya Tokopedia mencontoh shopee ada penilaian untuk kurir, karena kurir seenaknya ngirim barang lama tanpa ada penilaian kasihan yg jadi sasaran sellernya"
Rusni Muhammad,5,2025-05-24 07:08:01,respon keluhan lebih cepat di tanggapi
Syamsoel Nawawi,5,2025-05-24 06:42:43,respon nya cepat banget aplikasi nya gampang di gunakan
Putri Aditia,5,2025-05-24 06:42:37,bagus cepet murah
Dina Yulianingsih,1,2025-05-24 06:40:55,kenapa banyak iklan aplikasi ini di hp aku tolong di non aktifkan fitur iklannya ini sangat menggangu sekali
DASTIN PERT,5,2025-05-24 06:08:17,Mantapp
Eva Dee,5,2025-05-24 05:54:22,aplikasi belanja yg bagus...pengiriman cepat
Heri Siswanto,5,2025-05-24 05:52:02,"Tokopedia banyakiin promo dan diskon, serta gratis ongkir dong dan tingkat pelayanan kepada pembeli"
Pahmi Pauzia Aziz,5,2025-05-24 05:43:53,tokopedia mantap
Master Xxx,5,2025-05-24 05:28:24,mantap reekkk Tokopedia. kualitas oke banget.suka belanja disini
Andy Zegoh,1,2025-05-24 05:13:11,"sekarang pencarian sangat tidak akurat hasilnya, keywordnya apa hasilnya apa. sangat menyusahkan orang cari barang, ibarat untung - untungan aja nemu barang yang cocok. misal keyword 8/256 yang muncul malah semua yang ada angka 8 nya. udah gitu aplikasinya makin hari makin berat!"
Indra Hermana,5,2025-05-24 04:35:08,great
Ardi Tungkal,5,2025-05-24 04:17:14,ok
Ahmad Sarobi,5,2025-05-24 03:10:04,mantap
Agista Yudhistira,5,2025-05-24 02:54:45,ok
